
NO,Value,Sell,Buy,Date
133,1,52341.36,51803.67,5/21/2024
134,1,52295.61,51738.19,5/20/2024
135,1,52213.24,51676.86,5/17/2024
136,1,52584.74,52005.63,5/16/2024
137,1,52724.27,52182.65,5/15/2024
138,1,52596.13,52005.13,5/14/2024
139,1,52571.11,51988.79,5/13/2024
140,1,52513.57,51923.45,5/8/2024
141,1,52413.61,51827.99,5/7/2024
142,1,52623.86,52015.62,5/6/2024
143,1,52949.43,52325.59,5/3/2024
144,1,53141.16,52595.3,5/2/2024
145,1,53070.26,52525.1,4/30/2024
146,1,52970.01,52425.91,4/29/2024
147,1,52963.88,52372.16,4/26/2024
148,1,52765.7,52157.61,4/25/2024
149,1,52993.64,52449.31,4/24/2024
150,1,52931.83,52347.36,4/23/2024
151,1,53090.4,52521.24,4/22/2024
152,1,52747.68,52205.86,4/19/2024
153,1,52970.27,52426.19,4/18/2024
154,1,52756.38,52214.5,4/17/2024
155,1,51909.67,51314.71,4/16/2024
156,1,52019.17,51426.29,4/5/2024
157,1,52025.78,51491.4,4/4/2024
158,1,52036.36,51501.85,4/3/2024
159,1,51986.83,51452.79,4/2/2024
160,1,51853.99,51321.38,4/1/2024
161,1,51786.97,51255.04,3/28/2024
162,1,51642.67,51064,3/27/2024
163,1,51590.82,51060.85,3/26/2024
164,1,51542.38,50964.93,3/25/2024
165,1,51227.98,50701.75,3/22/2024
166,1,51407.14,50879.05,3/21/2024
167,1,51378.15,50802.46,3/20/2024
168,1,51259.02,50732.47,3/19/2024
169,1,51108.68,50531.06,3/18/2024
170,1,50987.89,50464.11,3/15/2024
171,1,50989.84,50424.99,3/14/2024
172,1,51086.53,50479.56,3/13/2024
173,1,51209.9,50683.85,3/8/2024
174,1,51360.63,50833.08,3/7/2024
175,1,51506.94,50941.41,3/6/2024
176,1,51387.35,50859.53,3/5/2024
177,1,51282.44,50673.33,3/4/2024
178,1,51384.63,50798.93,3/1/2024
179,1,51200.62,50674.73,2/29/2024
180,1,51150.13,50624.75,2/28/2024
181,1,51098.08,50523.95,2/27/2024
182,1,50957.68,50352.41,2/26/2024
183,1,51076.77,50552.11,2/23/2024
184,1,51149.98,50624.57,2/22/2024
185,1,51138.3,50570.27,2/21/2024
186,1,51025.34,50501.22,2/20/2024
187,1,51077.14,50552.5,2/19/2024
188,1,50917.22,50353.36,2/16/2024
189,1,50898.25,50328.05,2/15/2024
190,1,50984.79,50461.08,2/13/2024
191,1,51219.85,50683.88,2/12/2024
192,1,51354.84,50827.34,2/7/2024
193,1,51288.49,50761.69,2/6/2024
194,1,51318.04,50774.36,2/5/2024
195,1,51552.3,51006.17,2/2/2024
196,1,51635.38,51105.01,2/1/2024
197,1,51605.81,51075.72,1/31/2024
198,1,51702.25,51171.17,1/30/2024
199,1,51713.64,51142.52,1/29/2024
200,1,51524.45,50995.22,1/26/2024
201,1,51385.97,50795.39,1/25/2024
202,1,51178.38,50618.1,1/24/2024
203,1,51038.77,50514.47,1/23/2024
204,1,51043.68,50478.36,1/22/2024
205,1,51095.05,50502.86,1/19/2024
206,1,51069.63,50507.35,1/18/2024
207,1,51004,50398.08,1/17/2024
208,1,50901.18,50335.73,1/16/2024
209,1,50899.38,50376.49,1/15/2024
210,1,50879.54,50356.88,1/12/2024
211,1,50882.44,50359.76,1/11/2024
212,1,50748.72,50227.42,1/10/2024
213,1,50748.59,50227.29,1/9/2024
214,1,50745.42,50163.78,1/8/2024
215,1,50763.37,50241.92,1/5/2024
216,1,50655.39,50095.92,1/4/2024
217,1,50618.01,50098.08,1/3/2024
218,1,50536.4,49952.23,1/2/2024
219,1,50479.21,49960.65,12/29/2023
220,1,50416.81,49850.26,12/28/2023
221,1,50688.51,50112.38,12/27/2023
222,1,50766.41,50244.9,12/22/2023
223,1,50674.68,50149.27,12/21/2023
224,1,50628.75,50092.44,12/20/2023
225,1,50758.7,50155.68,12/19/2023
226,1,50709.55,50172.35,12/18/2023
227,1,50642.26,50084.57,12/15/2023
228,1,50936.05,50412.84,12/14/2023
229,1,50967.36,50401.32,12/13/2023
230,1,50890.45,50323.69,12/12/2023
231,1,50556.6,50021.08,12/11/2023
232,1,50652.65,50132.38,12/8/2023
233,1,50482.81,49964.31,12/7/2023
234,1,50445.22,49927.12,12/6/2023
235,1,50264.64,49748.39,12/5/2023
236,1,50511.93,49993.14,12/4/2023
237,1,50448.75,49930.58,12/1/2023
238,1,50158.71,49606.51,11/30/2023
239,1,50346.13,49829.02,11/29/2023
240,1,50641.4,50077.34,11/28/2023
241,1,50832.11,50265.99,11/27/2023
242,1,50884.73,50322.82,11/24/2023
243,1,50832.24,50310.11,11/23/2023
244,1,50385.46,49825.86,11/22/2023
245,1,50297.28,49741.95,11/21/2023
246,1,50520.46,50001.56,11/20/2023
247,1,50802.18,50280.35,11/17/2023
248,1,50554.88,49996.73,11/16/2023
249,1,51102.87,50559.96,11/15/2023
250,1,51126.91,50601.77,11/14/2023
251,1,51043.66,50519.38,11/13/2023
252,1,50926.92,50403.83,11/10/2023
253,1,50865.12,50342.67,11/9/2023
254,1,50751.25,50213.7,11/8/2023
255,1,50667.07,50065.53,11/7/2023
256,1,51315.6,50767.23,11/6/2023
257,1,51581.76,51050.3,11/3/2023
258,1,51816.25,51284.08,11/2/2023
259,1,51675.42,51144.66,11/1/2023
260,1,51720.44,51189.26,10/31/2023
261,1,51801.66,51253.11,10/30/2023
262,1,51755.62,51224.05,10/27/2023
263,1,51612.57,51049.49,10/26/2023
264,1,51622.77,51092.61,10/25/2023
265,1,51819.92,51287.68,10/24/2023
266,1,51578.83,50966.63,10/23/2023
267,1,51460.31,50900.55,10/20/2023
268,1,51135.82,50586.06,10/19/2023
269,1,51063.81,50539.38,10/18/2023
270,1,51067.22,50542.75,10/17/2023
271,1,51032.94,50508.79,10/16/2023
272,1,51072.92,50541.83,10/13/2023
273,1,51090.67,50567.58,10/12/2023
274,1,51092.43,50561.14,10/11/2023
275,1,50976.86,50454.94,10/10/2023
276,1,50800.98,50279.24,10/9/2023
277,1,50685.33,50164.81,10/6/2023
278,1,50835.21,50313.11,10/5/2023
279,1,50698.49,50177.8,10/4/2023
280,1,50464.6,49946.34,10/3/2023
281,1,50398.05,49880.46,10/2/2023
282,1,50477.58,49959.16,9/29/2023
283,1,50293.91,49777.36,9/27/2023
284,1,50101.98,49544.07,9/26/2023
285,1,50056.4,49510.21,9/25/2023
286,1,50088.98,49576.11,9/22/2023
287,1,50119.78,49605.01,9/21/2023
288,1,50114.8,49519.79,9/20/2023
289,1,50031.93,49481.25,9/19/2023
290,1,49999.45,49485.95,9/18/2023
291,1,50004.15,49490.59,9/15/2023
292,1,50025.36,49511.59,9/14/2023
293,1,49973.17,49459.89,9/13/2023
294,1,50030.03,49485.68,9/12/2023
295,1,49989.3,49475.88,9/11/2023
296,1,49969.75,49456.5,9/8/2023
297,1,49870.43,49358.23,9/7/2023
298,1,49718.93,49208.26,9/6/2023
299,1,49697.53,49187.04,9/5/2023
300,1,49744.47,49233.52,9/4/2023
301,1,49706.82,49196.29,9/1/2023
302,1,49714.96,49167.64,8/31/2023
303,1,49756.14,49245.05,8/30/2023
